paper_id,material_id,raw_formula,normalized_formula,elements,is_known_alias,confidence,page,section,source_type
Article 00.pdf,MAT_1,LiFePO4,LiFePO4,"{""Li"": 1.0, ""Fe"": 1.0, ""P"": 1.0, ""O"": 4.0}",False,0.65,1,Metadata/Header,Text
Article 00.pdf,MAT_2,FePO4,FePO4,"{""Fe"": 1.0, ""P"": 1.0, ""O"": 4.0}",False,0.65,1,Metadata/Header,Text
Article 00.pdf,MAT_3,Li0.5FePO4,Li0.5Fe1P1O4,"{""Li"": 0.5, ""Fe"": 1.0, ""P"": 1.0, ""O"": 4.0}",False,0.65,1,Metadata/Header,Text
Article 10.pdf,MAT_10,BPNN,BPN2,"{""B"": 1.0, ""P"": 1.0, ""N"": 2.0}",False,0.95,11,Methods,Text
Article 10.pdf,MAT_20,SDT,H2S,"{""S"": 1.0, ""H"": 2.0}",False,0.95,15,Results,Caption
Article 10.pdf,MAT_2,SOH,HSO,"{""S"": 1.0, ""O"": 1.0, ""H"": 1.0}",False,0.85,2,Methods,Text
Article 10.pdf,MAT_15,TDNN,HN,"{""H"": 2.0, ""N"": 2.0}",False,0.85,14,Results,Text
Article 10.pdf,MAT_9,LLZO,Li7La3Zr2O12,"{""Li"": 7.0, ""La"": 3.0, ""Zr"": 2.0, ""O"": 12.0}",True,0.75,9,Methods,Text
Article 10.pdf,MAT_11,HSW,HWS,"{""H"": 1.0, ""S"": 1.0, ""W"": 1.0}",False,0.7,13,Results,Text
Article 10.pdf,MAT_12,FUDS,UHSF,"{""F"": 1.0, ""U"": 1.0, ""H"": 1.0, ""S"": 1.0}",False,0.7,13,Results,Text
Article 10.pdf,MAT_13,PSO,PSO,"{""P"": 1.0, ""S"": 1.0, ""O"": 1.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_14,BP,BP,"{""B"": 1.0, ""P"": 1.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_16,WNN,WN2,"{""W"": 1.0, ""N"": 2.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_17,DWT,H2W,"{""H"": 2.0, ""W"": 1.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_18,DBN,BHN,"{""H"": 1.0, ""B"": 1.0, ""N"": 1.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_19,KF,KF,"{""K"": 1.0, ""F"": 1.0}",False,0.7,14,Results,Text
Article 10.pdf,MAT_21,US06,US6,"{""U"": 1.0, ""S"": 6.0}",False,0.7,15,Results,Text
Article 10.pdf,MAT_22,FCN,CNF,"{""F"": 1.0, ""C"": 1.0, ""N"": 1.0}",False,0.7,15,Results,Text
Article 10.pdf,MAT_1,SSEs,EsS2,"{""S"": 2.0, ""Es"": 1.0}",False,0.65,2,Introduction,Text
